Object type,MENA-EDS,OPEN-PROM,Explanation,Old sets,New sets,Sector
Parameter,PG_Mfl,iMatureFacLoad,Maturty factors on Load (1),"PGALL,YTIME","allCy,PGALL,YTIME",Parameters for data transfering
Parameter,PG_Oth,iDataElecSteamGen,Various Data releated to electricity and steam generation,"PGOTH,YTIME","PGOTH,YTIME",Parameters for data transfering
Parameter,PG_PMR,iPremReplacem,Premature replacement,"PGALL,PMR_SET","allCy,PGALL",Parameters for data transfering
Parameter,PG_RENAVAIL,iSuppPlantCapFac,Availability Factors (1),"PGRENEF,YTIME","PGRENEF,YTIME",Declare Parameters for data transfering
Parameter,PG_RencMAX,iCummMxmInstRenCap,Cummulative potential installed Capacity for Renewables (in GW) - maximum potential,"PGRENEF,YTIME","allCy,PGRENEF,YTIME",Parameters for data transfering
Parameter,PG_RenCMIN,iCummMnmInstRenCap,Cummulative potential installed Capacity for Renewables (in GW) - minimum potential,"PGRENEF,YTIME","allCy,PGRENEF,YTIME",Parameters for data transfering
Parameter,PG_Res,iResTotCapMxmLoad,Residuals for total capacity and maximum load,"PGRES,YTIME","allCy,PGRES,YTIME",Parameters for data transfering
Parameter,"PG1_Tech(PGALL,""2017"")",,Installed capacity (GW),"PGALL,PG1_set","allCy,PGALL,PG1_set",
Parameter,"PG1_Tech(PGALL,""DEC_10"");",iDecomPlants,Decomissioning Plants (MW),"PGALL,PG1_set","allCy,PGALL,PG1_set",Parameters for data transfering
Parameter,"PG1_Tech(PGALL,""INV_10"")",iInvPlants,Investment Plants (MW),"PGALL,PG1_set","allCy,PGALL,PG1_set",Parameters for data transfering
Parameter,"PG1_Tech(PGALL,""PROD_09"")",iDataElecProd,Data for electricity production (GWh),,,
Parameter,PGAVAIL,iAvailRate,Plant availability rate (1),"CYAll,PGALL,YTIME","PGALL,YTIME",
Parameter,PGCAPBASE,iInstCapPast,Available installed capacity for past years (GW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,PGCAPCOST,REMOVED FROM OPEN-PROM,Capital gross cost per plant type (kEuro2005/KW),"CYall,PGALL,YTIME","PGALL,YTIME",Power Generation Parameters
Parameter,PGCAPCOST_BAR,iGrossCapCosSubRen,Gross Capital Cost per Plant Type with subsidy for renewables (kEuro2005/KW),"CYall,PGALL,YTIME","PGALL,YTIME",Power Generation Parameters
Parameter,PGCAPPAST,iDataInstCapElecFuel,Installed capacity (GW),"CYall,PGALL,PGCAPAST",,Power Generation Parameters
Parameter,PGCR,iCO2CaptRate,Plant CO2 capture rate,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,PGDCAP,iPlantDecomSched,Decided plant decomissioning schedule (GW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,PGDHEFF,iEffDHPlants,Efficiency of District Heating Plants,"CYall,EF,YTIME","allCy,EF,YTIME",Power Generation Parameters
Parameter,PGEFF,iPlantEffByType,Plant efficiency per plant type (1),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,pgelcprod,iDataElecProd,Electricity generation for past data for 1995 and 2000 (GWh),"CYall,PGALL,PGPRODPAST","allCy,PGALL,PGPRODPAST",Power Generation Parameters
Parameter,PGFIXCOST,iFixOandMCost,Fixed O&M Gross Cost per Plant Type (Euro2005/KW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,PGICAP,iDecInvPlantSched,Decided plant investment schedule (GW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,PGLFT,iTechLftPlaType,Technical Lifetime per plant type (year),"CYall,PGALL",PGALL,Power Generation Parameters
Parameter,PGLOAD,iPeakBsLoadBy,Peak and Base load for base year (GW),"CYall,PGLOADTYPE","allCy,PGLOADTYPE",Power Generation Parameters
Parameter,PGMFC,iMatFacPlaAvailCap,Maturity factor related to plant available capacity (1),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,PGMFL,iMatureFacPlaDisp,Maturity factor related to plant dispatching (1),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",Power Generation Parameters
Parameter,PGRESMAR,iResMargTotAvailCap,Reserve margins on total available capacity and peak load,"CYall,PGRES,YTIME","allCy,PGRES,YTIME",Power Generation Parameters
Parameter,PGTOTCAP,iTotAvailCapBsYr,Total installed available capacity in base year (GW),CYall,allCy,Power Generation Parameters
Parameter,PGUTIL,iUtilRateChpPlants,Utilisation rate of CHP Plants (1),"CYall,CHP,YTIME","allCy,CHP,YTIME",Power Generation Parameters
Parameter,PGVARCOST,iVarCost,Variable gross cost other than fuel per Plant Type (Euro2005/KW),"CYall,PGALL,YTIME","PGALL,YTIME",Power Generation Parameters
Parameter,POLICIES,iEnvPolicies,Environmental policies on emissions constraints  and subsidy on renewables (Mtn CO2),"POLICIES_SET,YTIME","POLICIES_SET,YTIME",common data parameters
Parameter,POP,iPop,Population (billion),"CYAll,YTIME","YTIME,allCy",Macro economic indicators
Variable,POTREN,VCurrRenPot,Current renewable potential (GW),"CYall,PGRENEF,YTIME","allCy,PGRENEF,YTIME",Power Generation
Parameter,POTRENMAX,iMaxRenPotential,Maximum enewable potential (GW ),"CYall,PGRENEF,YTIME","allCy,PGRENEF,YTIME",Power Generation Parameters
Variable,POTRENMAXC,VMaxmAllowRenPotent,Maximum allowed renewable potential (GW),"CYall,PGRENEF,YTIME","allCy,PGRENEF,YTIME",POWER GENERATION SECTOR
Parameter,POTRENMIN,iMinRenPotential,Minimum renewable potential (GW),"CYall,PGRENEF,YTIME","allCy,PGRENEF,YTIME",Power Generation Parameters
Variable,POTRENMINC,VMnmAllowRenPot,Minimum allowed renewable potential (GW),"CYall,PGRENEF,YTIME","allCy,PGRENEF,YTIME",POWER GENERATION SECTOR
Variable,POTRENT,VRenPotSupplyCurve,Renewable potential supply curve,"CYall,PGRENEF,YTIME","allCy,PGRENEF,YTIME",POWER GENERATION SECTOR
Variable,PP,VFuelPriceSub,Fuel prices per subsector and fuel (kUS$2005/toe),"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",PRICES
Variable,PP_NOCV,VFuelPriSubNoCarb,Fuel prices per subsector and fuel  without carbon value (kdollars2005/toe),"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",Prices
Variable,PPA,VFuelPriceAvg,Average fuel prices per subsector (kUS$2005/toe),"CYall,DSBS,YTIME","allCy,TRANSE,YTIME",PRICES
Variable,PPROD,VPrimProd,Primary Production (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",
Parameter,PPRODRES,iResHcNgOilPrProd,"Residuals for Hard Coal, Natural Gas and Oil Primary Production (1)","CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Variable,PPSU,VFuePriSubChp,Fuel prices per subsector and fuel for CHP plants (kUS$2005/toe),"CYall,DSBS,EF,TEA,YTIME","allCy,DSBS,EF,TEA,YTIME",PRICES
Variable,PPW,VFuelPriMultWgt,Fuel prices per subsector and fuel  mutliplied by weights (kdollars2005/toe),"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",PRICES
Variable,PRODCOST,VHourProdCostTech,Hourly production cost of technology (Euro/KWh),"CYall,PGALL,HOUR,YTIME","allCy,PGALL,HOUR,YTIME",POWER GENERATION SECTOR
Variable,PRODCOSTC,VHourProdCostTechAfterCCS,Hourly production cost of technology (Euro/KWh),"CYall,PGALL,HOUR,YTIME","allCy,PGALL,HOUR,YTIME",POWER GENERATION SECTOR
Variable,PRODCOSTCS,VProdCostTechnology,Production cost of technology (Euro/KWh),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,PRODCOSTNOCCS,VHourProdCostTechNoCCS,Hourly production cost of technology (Euro/KWh),"CYall,PGALL,HOUR,YTIME","allCy,PGALL,HOUR,YTIME",POWER GENERATION SECTOR
Variable,PRODCOSTZZ,VProdCostTechPreReplac,Production cost of technology used in premature replacement (Euro/KWh),"CYALL,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,PRODCOSTZZ1,VProdCostTechPreReplacAvail,Production cost of technology used in premature replacement including plant availability rate (Euro/KWh),"CYALL,PGALL,PGALL2,YTIME","allCy,PGALL,PGALL2,YTIME",POWER GENERATION SECTOR
Sets,Rcon,rCon,"counter for the number of consumers /0,1*19/",,,Auxiliary Counters
Variable,REFCAP,VRefCapacity,Refineries capacity (Million barrels/day),"CYall,YTIME","allCy,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,REFCAPRES,iResRefCapacity,Residual in Refineries Capacity (1),"CYall,YTIME",YTIME,Supply Side Specific Parameters
Parameter,RELCINDEX,iResElecIndex,Residual for electricity Index (1),"CYall,YTIME","allCy,YTIME",Prices
Parameter,RESACTV,iResActiv,Residuals on transport activity (),"CYall,SBS,YTIME","allCy,TRANSE,YTIME",TRANSPORT SECTOR VARIABLES
Parameter,RESCONSEF,iResFuelConsPerSubAndFuel,Residuals in fuel consumption per subsector and fuel,"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",Common parameters for all Demand Subsectors
Parameter,RESDEMSE,iResDemSub,Residuals in total energy demand per subsector (1),"CYall,SBS,YTIME","allCy,SBS,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Parameter,RESNSE,iResNonSubsElecDem,Residuals in Non Substitutable Electricity Demand (1),"CYall,SBS,YTIME","allCy,SBS,YTIME",Common parameters for all Demand Subsectors
Parameter,RESPRICE,unused,Residual' in Price Equations,"CYall,SBS,EF,YTIME",,Prices
Parameter,ResPricePRN,unused,Residuals for domestic prices in equations (after 2005),"SBS,EF,YTIME",,Parameters for data transfering
Parameter,RESSFC,iResSpecificFuelConsCost,Residuals on specific fuel consumption cost,"CYall,TRANSE,TTECH,EF,YTIME","allCy,TRANSE,TTECH,EF,YTIME",Transport Sector specific Parameters
Variable,RESSHARE,VRenShareElecProdSub,Renewables share in gross electricity production for subsdidized renewables,"CYALL,YTIME ","allCy,YTIME",POWER GENERATION SECTOR
Variable,RESSHARE,VResShareGrossElecProd,Renewables share in gross electricity production for subsdidized renewables,"CYALL,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,RESVAL,VRenValue,Renewable value (Euro2005/KWh),YTIME,YTIME,Possitive Varibale
Parameter,RTORF,iResTransfOutputRefineries,Residual in Transformation Output from Refineries (Mtoe),"CYall,EF,YTIME","EF,YTIME",Supply Side Specific Parameters
Parameter,S,iSigma,S parameters of Gompertz function for passenger cars vehicle km (1),"CYall,SG","allCy,SG",TRANSPORT SECTOR VARIABLES
Parameter,SAT,iPassCarsMarkSat,Passenger cars market saturation [1],CYall,allCy,Transport Sector specific Parameters
Variable,SCR,VScrRate,Scrapping rate of passenger cars (1),"CYall,YTIME","allCy,YTIME",TRANSPORT SECTOR VARIABLES
Variable,SCRAP,VScrap,Scrapped passenger cars (million vehicles),"CYall,YTIME","allCy,YTIME",TRANSPORT SECTOR VARIABLES
Variable,SFC,VSpecificFuelCons,Specific Fuel Consumption (),"CYall,TRANSE,TTECH,TEA,EF,YTIME","allCy,TRANSE,TTECH,TEA,EF,YTIME",TRANSPORT SECTOR VARIABLES
Variable,SHCAP,VPowPlaShaNewEquip,Power plant share in new equipment (1),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,SHCAPCCS,VPowerPlaShrNewEq,Power plant share in new equipment,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,SHCAPNOCCS,VPowerPlantNewEq,Power plant share in new equipment,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Parameter,SHIOTH,iShareFueTransfInput,"Share of fuels in transformation input to Gasworks, Blast Furnances, Briquetting plants in base year","CYall,EF","allCy,EF",Supply Side Specific Parameters
Variable,SHLOAD,VPowPlantSorting,Power plants sorting according to variable cost to decide the plant dispatching (1),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,SHLOADS,VElecPeakLoads,Electricity peak loads (GW),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,SHR,VTechShareNewEquip,Technology share in new equipment (1),"CYall,DSBS,EF,TEA,YTIME","allCy,DSBS,EF,TEA,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,SHRHPELC,iShrHeatPumpElecCons,Share of heat pump electricity consumption in total substitutable electricity (1),"CYall,SBS","allCy,SBS",Common parameters for all Demand Subsectors
Parameter,SHRNSE,iShrNonSubElecInTotElecDem,Share of non substitutable electricity in total electricity demand per subsector (1),"CYall,SBS","allCy,SBS",Common parameters for all Demand Subsectors
Variable,SHRTR,VTechSortVarCostNewEquip,Technology share in new equipment,"CYall,TRANSE,EF,TEA,YTIME","allCy,TRANSE,EF,TEA,YTIME",TRANSPORT SECTOR VARIABLES
Variable,STAC,VAvgPowerGenCostShoTrm,Short-term average power generation cost (Euro2005/kWh),"CYall,ESET,YTIME","allCy,ESET,YTIME",POWER GENERATION SECTOR
Variable,STAC_INT_PRICE,VShoPowGenIntPri,Short term power generation cost of technologies including international Prices of main fuels (kEuro05/toe),"CYALL,PGALL,ESET,YTIME","allCy,PGALL,ESET,YTIME",POWER GENERATION SECTOR
Parameter,STT,iCumDistrFuncConsSize,Cummulative distribution function of consumer size groups (1),"CYall,DSBS","allCy,DSBS",Macro economic indicators
Variable,SU,VTechSort,Technology sorting based on variable cost (1),"CYall,DSBS,Rcon,YTIME","allCy,DSBS,rCon,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,SUCAP,VNewInvDecis,Power plant sorting for new investment decision according to total cost (1),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Parameter,Sup_ACEN,iSupRateEneBranCons,Rate of Energy Branch Consumption over total transformation output of iRateEneBranCons (1),"EF,YTIME","EF,YTIME",Declare Parameters for data transfering
Parameter,Sup_ALOS,REMOVED FROM OPEN-PROM,Supplementary parameter for Rate of losses over Available for Final Consumption,"EF,YTIME",,Parameters for data transfering
Parameter,Sup_APPROD,iSuppRatePrimProd,Supplementary Parameter for iRatePrimProd (1),"EF,YTIME","allCy,EF,YTIME",Parameter for data transfering
Parameter,Sup_CEN,iDataConsEneBranch,Data for Consumption of Energy Branch (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_EXP,iSuppExports,Supplementary parameter for  exports (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameter for data transfering
Parameter,Sup_GIC,iDataGrossInlCons,Data for Gross Inland Conusmption (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_IMP,iDataImports,Data for imports (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_LOS,iDataDistrLosses,Data for Distribution Losses (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_PPROD,iSuppPrimProd,Supplementary Parameter for Primary Production (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_ROTH,iSupResRefCapacity,Supplementary Parameter for the residual in refineries Capacity (1),"SUPOTH,YTIME","allCy,SUPOTH,YTIME",Parameters
Parameter,Sup_RTORF,iSupTrnasfOutputRefineries,Supplementary parameter for the transformation output from refineries (Mtoe),"EF,YTIME","EF,YTIME",Parameters
Parameter,Sup_SOTH,iSuppRefCapacity,Supplementary Parameter for Refineries Capacity (Million Barrels/day),"SUPOTH,YTIME","SUPOTH,YTIME",Parameters
Parameter,Sup_TIOTH,iSuppTransfInputPatFuel,"Supplementary Parameter for the transformation input to patent fuel and briquetting plants,coke-oven plants,blast furnace plants and gas works","EF,YTIME","EF,YTIME",Parameters
Parameter,Sup_TIRF,iDataTotTransfInputRef,Total Transformation Input in Refineries (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_TOOTH,iDataOtherTransfOutput,Data for Other transformation output ,"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_TORF,iDataTransfOutputRef,Data for the transformation Output from Refineries (Mtoe),"EF,YTIME","allCy,EF,YTIME",Parameters for data transfering
Parameter,Sup_TRANS,iSuppTransfers,Supplementary Parameter for Transfers (Mtoe),"EFS,YTIME","allCy,EFS,YTIME",Supply side
Variable,SUTR,VTechSortVarCost,Technology sorting based on variable cost,"CYall,TRANSE,Rcon,YTIME","allCy,TRANSE,Rcon,YTIME",TRANSPORT SECTOR VARIABLES
Parameter,targetprice,iPriceTragets,Price Targets,"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",Emission Related Parameters
Parameter,targetprice1,iDataPriceTargets,Data Transfer for Price Targets,"CYall,AGSECT,EF,YTIME","allCy,AGSECT,EF,YTIME",Reguala Falsi Parameters
Variable,TCAPACITY,VElecGenPlantsCapac,Electricity generation plants capacity (GW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,TICT,VTransfInThermPowPls,Transformation input to thermal power plants (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,TIDH,VTransfInputDHPlants,Transformation input to District Heating Plants (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,TINEW,iTotInput,"TINEW(CYALL,EF,YTIME)=1E-7;","CYALL,EF,YTIME","allCy,EF,YTIME",Power Generation Parameters
Variable,TINUC,VTransfInNuclear,Transformation input to nuclear plants (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,TIOTH,VTransfInputPatFuel,"Transformation input to patent fuel and briquetting plants,coke-oven plants,blast furnace plants and gas works","allCy,EFS,YTIME","CYall,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,TIOTHEFF,iAvgEffGas,"Average Efficiency of Gasworks, Blast Furnances, Briquetting plants","CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Variable,TIRF,VTransfInputRefineries,Transformation input to refineries (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,TITOT,VTotTransfInput,Total transformation input (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",
Variable,TOCT,VTransfOutThermPowSta,Transformation output from thermal power stations (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,TODH,VTransfOutputDHPlants,Transformation output from District Heating Plants (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,TONEW,iHydProd,Hydrogen production (Mtoe),"CYALL,EF,YTIME","allCy,EF,YTIME",Power Generation Parameters
Variable,TONUC,VTransfOutputNuclear,Transformation output from nuclear plants (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",REST OF ENERGY BALANCE SECTORS
Variable,TOOTH,VTransfOutputPatFuel,"Transformation output from patent fuel and briquetting plants,coke-oven plants,blast furnace plants and gas works","CYall,EF,YTIME","allCy,EF,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,TOOTHRES,iTransfOutputGasw,"Transformation Output from Gasworks, Blast Furnances, Briquetting plants Residual","CYall,YTIME","allCy,YTIME",Supply Side Specific Parameters
Variable,TORF,VTransfOutputRefineries,Transformation output from refineries (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,TOTAL_EF,iDiffFuelsInSec,Auxiliary parameter holding the number of different fuels in a sector,SBS,,
Variable,TOTCAP,VTotElecGenCap,Total electricity generation capacity (GW),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,TOTCAP_EST,VTotElecGenCapEst,Estimated Total electricity generation capacity (GW),"CYall,YTIME","CYall,YTIME",POWER GENERATION SECTOR
Variable,TOTCAPNCHP,VElecGenNoChp,Total electricity generation capacity excluding CHP ( GW),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,TOTOT,VTotTransfOutput,Total transformation output (Mtoe),"CYall,EFS,YTIME ","allCy,EFS,YTIME ",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,TOTPROD,VTotReqElecProd,Total required electricity production (TWh),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,TOTPRODCHP,VReqElecProd,Total estimated CHP electricity production (TWh),"CYALL,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Parameter,TRADBMS,iExogDemOfBiomass,DEMAND OF TRADITIONAL BIOMASS-EXOGENOUSLY DEFINED,"CYALL,SBS,YTIME","allCy,DOMSE,YTIME",Common parameters for all Demand Subsectors
Variable,TRANS,VTransfers,Transfers (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",
Parameter,Trans_ELSH,iPlugHybrFractOfMileage,"Plug in hybrid fraction of mileage covered by electricity, residualls on GDP-Depnd car market ext (1)","ELSH_SET,YTIME","allCy,ELSH_SET,YTIME",Parameters for data transfering
Parameter,Trans_FCon,iFuelCons,Fuel consumption (Mtoe),"TRANSE,EF,YTIME","allCy,TRANSE,EF,YTIME",Parameters for data transfering
Parameter,Trans_Gomp,iDataPassCars,Initial Data for Passenger Cars (),"GompSet1,Gompset2","allCy,GompSet1,Gompset2",Parameters for data transfering
Parameter,Trans_RSFC,iResTranspFuelConsSubTech,Residual Transport on Specific Fuel Consumption per Subsector and Technology,"TRANSE,EF,YTIME","allCy,TRANSE,EF,YTIME",Parameters for data transfering
Parameter,Trans_SFC,iInitSpecFuelCons,Initial Specific fuel consumption (),"TRANSE,TTECH,EF,YTIME","TRANSE,TTECH,EF,YTIME",Parameters for data transfering
Parameter,Trans_Tech,iCapCostTechTr,Capital Cost of technology for transport (kEuro2005/vehicle),"CYall,TRANSE,EF,TEA,YTIME","allCy,TRANSE,EF,YTIME",Common parameters for all Demand Subsectors
Parameter,Trans_Tech,iDataTransTech,Technoeconomic characteristics of transport (various),"TRANSE,EF,ECONCHAR","TRANSE,EF,ECONCHAR",common data parameters
Parameter,Trans_Use,iCapDataLoadFacEachTransp,Capacity data and Load factor for each transportation mode (passenger or tonnes/vehicle),"TRANSE,TRANSUSE","TRANSE,TRANSUSE",common data parameters
Parameter,TRANSCHAR,iTransChar,"km per car, passengers per car and residuals for passenger cars market extension ()","CYall,TRANSPCHAR,YTIME","allCy,TRANSPCHAR,YTIME",TRANSPORT SECTOR VARIABLES
Variable,U,VTechCostMatr,Technology cost including maturity factor (Keuro/toe),"CYall,DSBS,Rcon,EF,TEA,YTIME","allCy,DSBS,rCon,EF,TEA,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,UF,iUsfEneConvSubTech,Useful Energy Conversion Factor per subsector and technology (1),"CYall,SBS,EF,TEA,YTIME","allCy,SBS,EF,YTIME",Common parameters for all Demand Subsectors
Parameter,USETR,iAvgVehCapLoadFac,Average capacity/vehicle and load factor (tn/veh or passenegers/veh) ,"CYall,TRANSE,TRANSUSE,YTIME","allCy,TRANSE,TRANSUSE,YTIME",Transport Sector specific Parameters
Variable,UTR,VTranspCostMatFac,Transportation cost including maturity factor(Keuro/vehicle),"CYALL,TRANSE,RCon,TTECH,TEA,YTIME","allCy,TRANSE,RCon,TTECH,TEA,YTIME",TRANSPORT SECTOR VARIABLES
Parameter,VARCOST,iVarCostTech,Variable Cost of technology (),"CYall,SBS,EF,TEA,YTIME","allCy,SBS,EF,TEA,YTIME",Common parameters for all Demand Subsectors
Variable,VARCOSTPG,VVarCostTech,Variable cost of technology (Euro/KWh),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,VARCOSTPG1,VVarCostTechNotPGSCRN,Variable cost of technology excluding PGSCRN (Euro/KWh),"CYALL,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,VARCOSTPG2,VVarCostTechnology,Variable cost of technology (Euro/KWh),"CYALL,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Parameter,VCF,iFinEneConsPrevYear,Final energy consumption used for holding previous year results (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",Common parameters for all Demand Subsectors
Variable,VEH,VNumVeh,Stock of passenger cars (million vehicles),"CYall,YTIME","allCy,YTIME",TRANSPORT SECTOR VARIABLES
Parameter,VOMRES,-,,"PGALL,YTIME",,
Parameter,Vr,iDisFunConSize,Distribution function of consumer size groups (1),"CYall,DSBS,Rcon","allCy, DSBS, RCon",Macro economic indicators
Parameter,WPRICE,iWgtSecAvgPriFueCons,"Weights for sector's average price, based on fuel consumption (1)","CYall,SBS,EF","allCy,SBS,EF",Macro economic indicators
Parameter,X0,iAnnCons,"Annual consumption by the consumer size smallest, modal, largest (average for all countries)  !! For passenger cars (Million km/vehicle)
                                                 !! For other passenger tranportation modes (Mpkm/vehicle)
                                                 !! For goods transport, (Mtkm/vehicle)","CYall,SBS","allCy,DSBS,conSet",Macro economic indicators
Parameter,Xm,iAnnCons,"Annual consumption by the consumer size smallest, modal, largest (average for all countries)  !! For passenger cars (Million km/vehicle)
                                                 !! For other passenger tranportation modes (Mpkm/vehicle)
                                                 !! For goods transport, (Mtkm/vehicle)","CYall,SBS","allCy,DSBS,conSet",Macro economic indicators
Parameter,Xn,iAnnCons,"Annual consumption by the consumer size smallest, modal, largest (average for all countries)  !! For passenger cars (Million km/vehicle)
                                                 !! For other passenger tranportation modes (Mpkm/vehicle)
                                                 !! For goods transport, (Mtkm/vehicle)","CYall,SBS","allCy,DSBS,conSet",Macro economic indicators
Variable,ZZ,VEndogScrapIndex,Index used for endogenous power plants scrapping,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Parameter,REPELCP,unused,,,,
Parameter,PGCHP,unused,,,,
Parameter,PG_CHPCAPAC,unused,,,,
Parameter,DCHPCAPAC,unused,,,,
Parameter,PGCHPELPROD,unused,,,,
Parameter,DGHGEMISS,unused,,,,
Parameter,GHGELASTA,unused,,,,
Parameter,GHGELASTC,unused,,,,
Parameter,NGSEXPRES,unused,,,,
Parameter,SPG,unused,,,,
Parameter,DISCOUNTED,unused,,,,
